ID,Chapin Gray,Moccasin Gray,Mancos Gray,Plain Gray,Mancos Corrugated,Dolores Corrugated,Mesa Verde Corrugated,Corrugated,Chapin B/W,Piedra B/W,Early White,Cortez B/W,Mancos B/W,PII B/W,McElmo B/W,Mesa Verde B/W,PIII B/W,Late B/W  mineral,Late B/W  organic,Late White,Abajo R/O,Bluff B/R,Deadmans B/R,Unid San Juan Redware
1,53,0,0,484,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2,175,0,0,2296,0,0,0,0,107,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0
3,70,0,0,1078,0,0,0,0,56,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0
4,211,0,0,1978,0,0,0,0,10,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
5,141,0,0,2557,0,0,0,0,45,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,0,0,34,0,0,0,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,175,0,0,3453,0,0,0,0,49,0,186,0,0,0,0,0,0,0,0,0,0,0,0,0
8,250,0,0,3496,0,0,0,0,46,2,98,0,0,0,0,0,0,0,0,0,0,0,0,0
9,38,0,0,590,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,28,0,0,579,0,0,0,0,10,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
11,121,0,0,1188,0,0,0,0,92,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0
12,115,0,0,1923,0,0,0,0,96,0,234,0,0,0,0,0,0,0,0,0,0,0,0,5
13,7,0,0,85,0,0,0,0,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
14,148,45,0,12850,0,0,0,0,153,0,,0,0,0,0,0,0,0,0,0,1097,,0,683
15,89,25,0,1106,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,17,18,0,34
16,35,0,0,961,0,0,0,0,12,14,16,0,0,0,0,0,0,0,0,0,2,,,
17,104,11,0,1582,0,0,0,0,58,8,94,0,0,0,0,0,0,0,0,0,6,1,0,20
18,16,1,0,328,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,,,,6
